Test Graph, Number of Vertices, Number of Edges,, Randomized Best Value, Greedy Best Value, Semi-Greedy Best Value, Num of iteration for Local, best value for Local, Num of iteration for GRASP,best value for GRASP
set1/g1.rud,800,19176,,10991,10978,10984,180,11344,10,11456
set1/g2.rud,800,19176,,11043,11036,11035,117,11357,10,11437
set1/g3.rud,800,19176,,11018,11029,11042,146,11358,10,11412
set1/g4.rud,800,19176,,11041,11027,11056,146,11389,10,11462
set1/g5.rud,800,19176,,11013,10981,11021,163,11368,10,11474
set1/g6.rud,800,19176,,1523,1492,1512,134,1831,10,1970
set1/g7.rud,800,19176,,1382,1335,1390,178,1761,10,1820
set1/g8.rud,800,19176,,1394,1381,1367,166,1760,10,1860
set1/g9.rud,800,19176,,1441,1486,1448,159,1768,10,1860
set1/g10.rud,800,19176,,1366,1347,1336,208,1718,10,1801
set1/g11.rud,800,1600,,431,434,430,17,464,10,470
set1/g12.rud,800,1600,,418,418,418,17,454,10,456
set1/g13.rud,800,1600,,417,422,418,26,468,10,476
set1/g14.rud,800,4694,,2892,2890,2895,49,2963,10,2975
set1/g15.rud,800,4661,,2869,2869,2873,45,2934,10,2959
set1/g16.rud,800,4672,,2889,2893,2880,53,2945,10,2960
set1/g17.rud,800,4667,,2879,2883,2876,64,2953,10,2970
set1/g18.rud,800,4694,,780,763,781,49,831,10,875
set1/g19.rud,800,4661,,705,681,704,32,761,10,807
set1/g20.rud,800,4672,,737,781,731,49,814,10,826
set1/g21.rud,800,4667,,723,738,716,46,798,10,805
set1/g22.rud,2000,19990,,12359,12349,12354,288,12884,10,12915
set1/g23.rud,2000,19990,,12307,12301,12300,241,12742,10,12870
set1/g24.rud,2000,19990,,12362,12386,12373,295,12850,10,12898
set1/g25.rud,2000,19990,,12395,12357,12397,233,12861,10,12884
set1/g26.rud,2000,19990,,12349,12331,12342,253,12798,10,12866
set1/g27.rud,2000,19990,,2314,2337,2331,259,2832,10,2918
set1/g28.rud,2000,19990,,2304,2292,2293,261,2795,10,2853
set1/g29.rud,2000,19990,,2373,2373,2377,284,2915,10,2927
set1/g30.rud,2000,19990,,2412,2421,2416,236,2897,10,2973
set1/g31.rud,2000,19990,,2314,2277,2321,270,2766,10,2895
set1/g32.rud,2000,4000,,1026,1026,1027,63,1152,10,1162
set1/g33.rud,2000,4000,,1007,1010,1007,54,1114,10,1124
set1/g34.rud,2000,4000,,979,982,980,73,1124,10,1130
set1/g35.rud,2000,11778,,7256,7217,7252,108,7449,10,7452
set1/g36.rud,2000,11766,,7246,7240,7244,122,7417,10,7444
set1/g37.rud,2000,11785,,7264,7248,7279,106,7403,10,7445
set1/g38.rud,2000,11779,,7260,7250,7245,127,7417,10,7448
set1/g39.rud,2000,11778,,1926,1899,1911,129,2136,10,2147
set1/g40.rud,2000,11766,,1822,1834,1831,130,2086,10,2089
set1/g41.rud,2000,11785,,1873,1864,1869,115,2077,10,2098
set1/g42.rud,2000,11779,,1961,1970,1966,151,2145,10,2192
set1/g43.rud,1000,9990,,6173,6152,6178,124,6385,10,6449
set1/g44.rud,1000,9990,,6145,6140,6152,137,6373,10,6428
set1/g45.rud,1000,9990,,6180,6188,6195,119,6418,10,6460
set1/g46.rud,1000,9990,,6178,6211,6167,95,6372,10,6449
set1/g47.rud,1000,9990,,6199,6215,6196,107,6399,10,6448
set1/g48.rud,3000,6000,,5965,6000,5935,2,6000,10,6000
set1/g49.rud,3000,6000,,5974,6000,5963,2,6000,10,6000
set1/g50.rud,3000,6000,,5857,5870,5848,2,5880,10,5880
set1/g51.rud,1000,5909,,3642,3613,3641,60,3710,10,3739
set1/g52.rud,1000,5916,,3642,3630,3641,72,3737,10,3745
set1/g53.rud,1000,5914,,3636,3642,3643,61,3719,10,3747
set1/g54.rud,1000,5916,,3628,3603,3635,51,3723,10,3739
